round,mean_train_loss,std_train_loss,mean_val_loss,std_val_loss,mean_der,std_der,num_clients
1,4940.851806640625,1499.0179835617337,,,0.3929970010859623,0.11887261171199855,3
2,10768.045318603516,7921.2329756356285,,,0.30572906865223276,0.06098409468744649,3
3,2628.306310017904,3155.8412694441486,,,0.38023095355318287,0.11541941515524924,3
4,612.2656784057617,431.786966782082,,,0.4054052371208079,0.11980067656594422,3
5,145.14896138509116,98.18392046734698,,,0.38410605232338346,0.11618494043903471,3
6,327.43553670247394,66.48027448416559,,,0.3795800274628827,0.11511717066329485,3
7,90.43058093388875,71.44271581822524,,,0.36574349693375224,0.10560784983698142,3
8,159.35267702738443,105.06411301814863,,,0.4929906493467806,0.07346444841386347,3
9,43.57598559061686,42.006259411083036,,,0.2637949945527938,0.06490322439015139,3
10,315.022793451945,279.1635101727353,,,0.3063208196434151,0.06146651338070908,3
11,37.65112050374349,39.936901183282004,,,0.3705636734634003,0.09529335376400172,3
12,180.65423583984375,146.76880002436482,,,0.4864571087060723,0.1451533942752539,3
13,188.60110473632812,195.87200732028518,,,0.37912661905490425,0.022414589847482912,3
14,1.9307270844777424,0.46372771309689753,,,0.3386578103212718,0.07896715544790113,3
15,69.08084138234456,50.87716501822464,,,0.46860727654742035,0.009511495529798422,3
16,94.19520060221355,99.7181022920309,,,0.37203957853156683,0.09574110214324308,3
17,85.94669342041016,97.10473315388289,,,0.3915246342199054,0.10635426656908102,3
18,11.403180440266928,6.025883136965677,,,0.34667867235311095,0.10926054616560447,3
19,12.374611854553223,4.861180749406497,,,0.3990023817197388,0.07474924766776277,3
20,2696.6030037403107,3705.80860627353,,,0.36787666721555484,0.03259083154245172,3
21,7.7994764645894366,3.8556500724539413,,,0.35751206660198553,0.10892694257801618,3
22,21.734521677096684,27.386294857529034,,,0.2736464107109113,0.09736171963499422,3
23,27.352136452992756,30.366869184868147,,,0.3685985981342796,0.1012398892941397,3
24,67.61696815490723,48.5195324351002,,,0.3075361691752279,0.05870120812140179,3
25,19.886772791544598,5.374742083277781,,,0.3762001776208042,0.11011348356846175,3
26,11.652528365453085,11.249606524811371,,,0.3150378840688421,0.03858030416711092,3
27,38.24304644266764,22.953276476783255,,,0.3538410349015407,0.10881308540869704,3
28,9.137529850006104,5.890241479635017,,,0.38087694488082374,0.0775369982685804,3
29,448.4099286397298,532.4987157906178,,,0.24673149483129475,0.06971934085518514,3
30,57.4784320195516,59.12857963825902,,,0.29259219664797176,0.0526151448464713,3
31,50.07560920715332,27.371225750996945,,,0.34736005621502014,0.10531529912308044,3
32,228.00778802235922,305.74410836582547,,,0.3624239708431936,0.06970979048076166,3
33,18.486926237742107,15.357683701099397,,,0.30584741885046846,0.06107996597214749,3
34,28.042030890782673,29.70401343575622,,,0.3058474188504681,0.061079965972147106,3
35,557.8478395144144,750.7770980202326,,,0.32888350173737924,0.10793262281910584,3
36,40.422268549601235,45.34836003526164,,,0.30477574040099387,0.06019671564867788,3
37,2.92669677734375,0.7497852336592354,,,0.3024927128636863,0.07268566727126827,3
38,2.0315204858779907,0.7491168996868409,,,0.3369952765378373,0.09424317077835163,3
39,549.7761182785034,746.603709114172,,,0.27726584597633513,0.05031571064053845,3
40,4.219388941923778,4.338987696491155,,,0.2889599156028712,0.0848968751526606,3
