round,0,1,2
1,0.4241079353807953,0.5007014809041311,0.5204514363885122
2,0.40790013679891013,0.4035074045206547,0.42030889401740285
3,0.44883720930233223,0.243257989088075,0.40972838629505237
4,0.49119251753702253,0.38409373335700786,0.44038987688099296
5,0.3941771702467666,0.2233047544816836,0.4388166894664871
6,0.2583008573655495,0.3545180188176863,0.3709986320109513
7,0.3642109000532622,0.48137178487918925,0.37954856361149597
8,0.3170693686671865,0.412462275874317,0.3726060191518501
9,0.4279069767441885,0.25900233826968033,0.39716142270862614
10,0.39826025208592675,0.2636009353078721,0.37082763337893815
11,0.383994528043781,0.3452867033552309,0.33686671862821527
12,0.4600155884645362,0.4046511627907058,0.43127995739393554
13,0.37937756497948466,0.2951675759937644,0.40227232380614925
14,0.3647700701480907,0.4162968222971811,0.3423050615595112
15,0.3582815551216106,0.30116913484021846,0.39702462380301595
16,0.442305061559511,0.5372564302416213,0.38150186401562747
17,0.4014029618082618,0.35987928279780623,0.3859781121751099
18,0.35213917983313087,0.37168262653899076,0.27529228371005454
19,0.27669524551831653,0.40790013679891113,0.3587786259542027
20,0.393141075604053,0.36439808481532926,0.34368897567904044
21,0.28448947778643774,0.37209302325581933,0.3607669092845779
22,0.3227428180574569,0.4099414166518791,0.27568199532346055
23,0.26305533904910355,0.37922954020948574,0.39719562243502665
24,0.24910366328916583,0.38959701757501164,0.37181942544460267
25,0.23881527669524552,0.38467852257182455,0.3829575714539398
26,0.3859097127223042,0.27256430241621193,0.33644594354696056
27,0.4064637482900217,0.2667186282151208,0.4255281377596356
28,0.236087295401403,0.3654582763337949,0.3542339783419174
29,0.38047195622435426,0.2779423226812159,0.28968578022368663
30,0.37913816689467067,0.3753702260327358,0.3660571631457524
31,0.2197973499610288,0.39705308006391615,0.3574213406292812
32,0.24793452844894776,0.35109439124487524,0.33278892242144953
33,0.27786438035853467,0.39897035327534736,0.3459986320109475
34,0.28113795791114565,0.35902716137049967,0.3505129958960383
35,0.37855677154583267,0.249493374902572,0.39510030179301037
36,0.38590971272230296,0.3792650452689569,0.28168355416991414
37,0.2910054719562292,0.2282151208106001,0.349192259897038
38,0.21979734996102884,0.4019172732114387,0.31867305061560147
39,0.23398285268900998,0.33836321675839376,0.40160738714090816
40,0.24403741231488701,0.40660394106160547,0.37510259917921085
