round,0,1,2
1,0.47686388508892685,0.4775136399064689,0.4597550150896567
2,0.3511301636788778,0.39186934138114937,0.39379274965800787
3,0.40372777017784234,0.38592224391976404,0.27225253312548714
4,0.41626131723771403,0.29364770070148094,0.3824897400820836
5,0.3932969602494154,0.3961696306429592,0.42435647079709515
6,0.39222439197586245,0.3324629773967266,0.4107558139534951
7,0.42046853625171776,0.41869341381147257,0.48230709275136385
8,0.39055565418072524,0.3648869836321121,0.426162790697681
9,0.38418262653899216,0.41730319563522994,0.3985265400319583
10,0.2664458300857367,0.39279247292739805,0.4119870041039719
11,0.36745961299485563,0.26184723304754487,0.40114569083447993
12,0.2832424006235386,0.3705308006390947,0.3613714090287316
13,0.4052154582763393,0.38867388602876496,0.2218628215120811
14,0.22431800467653934,0.4170779336055432,0.42000683994528504
15,0.27104442712392834,0.39636073140423134,0.36721956224350766
16,0.379034262382395,0.37806087551300116,0.24520654715510518
17,0.40760943912449416,0.27466874512860484,0.37424107935381357
18,0.3130943102104442,0.3510207704597949,0.4118331053351628
19,0.3890560875513053,0.4147310989867498,0.34297887448962006
20,0.38593999644949806,0.3948358413132752,0.23335931410756042
