round,0,1,2
1,9263.834492778778,11379.265834331512,78944.1178497076
2,444.60029063224795,643.9273909807205,1089.244675064087
3,498.6721208810806,1198.00759472847,785.4381579637527
4,440.4720419883728,896.047230386734,338.4415114402771
5,1339.9352219343186,511.6821610927582,239.8593264579773
6,394.85331134796144,1781.6370995640755,3255.1245897054673
7,317.93169088363646,138.85294889211656,101.65791687965392
8,260.7887664079666,252.8742089509964,343.7041352748871
9,278.4268731355667,771.1710739850998,112.7995726943016
10,75.22154914140701,297.0802964568138,194.4837690591812
11,63.841550898551944,153.93019797801972,132.09297029972078
12,163.81987963914872,261.13496512174606,178.29935389757156
13,207.48642780780793,228.22592598199844,450.91002304553984
14,220.2703648865223,157.9543894290924,172.77669956684113
15,214.30086159706116,77.9531220316887,56.04237771034241
16,26.67647303342819,113.75907062292099,36.30158667564392
17,36.35345582962036,87.0076565861702,20.910198748111725
18,216.28974243402482,205.10973290205,71.02826137542725
19,37.04983216524124,618.4717465519905,75.69755351543427
20,58.635393702983855,223.2802522659302,58.73860799074173
