round,0,1,2
1,0.48922447388932183,0.43571306429549167,0.4479939641398948
2,0.3077357755261109,0.4008787502219128,0.42695793433653184
3,0.3927835966625298,0.33189789555728755,0.39774281805746015
4,0.3249415432579891,0.3908772229822225,0.4083791940351552
5,0.23787996882307091,0.39341381146813925,0.41742476060192085
6,0.24508963367108333,0.3777116989171003,0.3823101915184749
7,0.3584045827633429,0.2622759158222915,0.39784306763714444
8,0.25777474668745126,0.3890475376197041,0.37946919936091533
9,0.2784489477786438,0.3948428901118468,0.4219305745554108
10,0.4113527427658476,0.37006668946648813,0.22476617303195628
11,0.24957131722525333,0.3885345417236726,0.3762737440085268
12,0.39080882352941687,0.3856026983845247,0.22989088074824632
13,0.2691543257989088,0.39576778385773476,0.3930232558139592
14,0.2777279812938426,0.40110953310847297,0.4015731874145054
15,0.4083447332421394,0.37411681164566507,0.23316445830085727
16,0.37758743120895366,0.27342166796570544,0.3919716142270917
17,0.25171473109898673,0.3775136798905666,0.3646192082371793
18,0.24150428682774744,0.3753248974008252,0.41384697319368513
19,0.21683554169914263,0.37057518196343553,0.4027616279069825
20,0.38052547488017485,0.22942322681215904,0.3963662790697725
