round,mean_train_loss,std_train_loss,mean_val_loss,std_val_loss,mean_der,std_der,num_clients
1,33374.84316253662,47417.30909944799,,,0.24237796228006275,0.23787556908325724,10
2,3774.471914291382,6334.578728448497,,,0.1199852778800147,0.20337262983892807,10
3,28904.604443359374,49597.03432004121,,,0.36835517181496846,0.42056458056341267,10
4,43928.19240722656,120188.07918814941,,,0.2703653760687981,0.3851173243821481,10
5,93591.26864013672,271014.36599512625,,,0.0145344949227279,0.029286868645979076,10
6,914.2002685546875,2055.7813208423977,,,0.15,0.32015621187164245,10
7,2990.1237365722654,4961.520877525896,,,0.25,0.33541019662496846,10
8,1006.9308959960938,1846.1167369177529,,,0.17883695252116305,0.3126117773271319,10
9,16375.5685546875,41596.06844727191,,,0.0998001998001998,0.19960089960027333,10
10,15.776217603683472,45.99395826858135,,,0.012324517587675473,0.031440019152329884,10
11,133.4306182861328,282.3884777577082,,,0.05,0.15000000000000002,10
12,2217.095539447665,6651.126358187074,,,0.001219512195121952,0.003658536585365857,10
13,2592.721993243694,7579.805179263369,,,0.03747654784240151,0.09044755115202281,10
14,868.3128265380859,2094.0934955959824,,,0.07195121951219513,0.15697637526530442,10
15,531.13359375,1593.4007812500001,,,0.05,0.15000000000000002,10
16,1292.067803955078,3557.221687666352,,,0.1,0.30000000000000004,10
17,0.0,0.0,,,0.0,0.0,10
18,85.03692019828596,255.1096211664091,,,0.0116862740272206,0.034723764824494456,10
19,596.353515625,1395.7277331940497,,,0.05321520584678476,0.1166815971677082,10
20,2.2786897659301757,6.836069297790528,,,0.04210526315789473,0.1263157894736842,10
