round,0,1,2,3,4,5,6,7,8,9
1,2485.6170711994173,18725.43707485199,30767.72441072464,4831.089920043945,65.50898942947387,13527.28573694229,11286.355190259219,0.6725873947143555,2403.291900062561,11985.900685119628
2,2361.3911603927613,16932.047235870363,3987.3964025497435,2862.837903213501,380.6500799179077,2564.633808708191,0.7413848876953125,0.27148191928863524,223.98550661206247,7.462433242797852
3,7391.589782714844,11380.41060409546,5956.367619323731,8770.250146484375,192.7330570101738,4834.489581298828,791.4205669254064,5085.493149268627,35268.227526855466,290.8309756100178
4,4540.62818069458,6211.673244476318,299.0360610961914,19205.267213630676,584.384538936615,2666.977944564819,80830.12813110351,149.85220031738282,1514.4621136784554,1813.2999871253967
5,1537.007071208954,2332.195507872105,1324.5438018798827,7865.787895011902,1864.6498544692993,509.83069305419923,8372.708606338501,182289.9133049965,7.953596496582032,1219.8472982406615
6,257.0399591445923,141.51303453445433,1398.0934892654418,28.925764656066896,14.489020538330077,261.18908205032346,0.5758803337812424,5.637472343444824,1140.7232244729996,5.215151691674948
7,0.1458171486854553,0.20939359664916993,7467.797098541259,59.104987907409665,2202.583959117532,1081.0925144672394,1999.0563149251043,8767.902290725708,0.05232316255569458,59.75498232841492
8,3.1011945724487306,1.8924042940139771,0.35660643577575685,3447.1357944488527,701.5588500261307,1534.0666566848754,72.26016964912415,1577.5643172979355,102.16993954306369,25.36062788963318
9,1.1210361480712892,0.26757404804229734,0.5091919898986816,27844.74631536603,78.50503885149956,143.33839972727,0.20998754501342773,4.417047834396362,4986.0620825529095,0.6873638711477519
10,223.15431876182555,0.36565563678741453,0.362494969367981,5.274752354621887,350.35007162094115,93.07423005104064,0.42283072471618655,3.3921910762786864,0.7056112528561831,0.3436525821685791
11,2.316908264160156,0.7035113334655761,0.5064354300498962,360.1602840423584,1.13863974660635,16.47018156051636,63.141643333435056,29.11957721710205,411.3143840789795,5.501377773284912
12,0.44836721420288084,0.5224910736083984,0.40120739936828614,0.4213348388671875,0.1617972731590271,0.3735889673233032,4489.899966621399,31.029606884717943,3.5126770973205566,0.2865935802459717
13,215.5654296875,123.73978531360626,8.401237892030621e-08,9713.35001220703,10430.624197387695,1090.2258407592774,110.64360122680664,43.719153594970706,0.27113392353057864,0.0
14,1435.7278598785401,47.532722330093385,528.9119850159598,270.15208892822267,122.75413624048232,8.525033497810364,1.7987128600478173,9.847866469827181,0.06904814392328262,160.11406083106993
15,5.053994846343994,11.045514984056354,3.729865626618266,0.007137025147676468,73.11282391548157,1159.8266380786895,6.877859020233155,0.018818724155426025,0.018438680469989775,111.0810893535614
16,22.519941955804825,5.696092247962952,75.31833534240722,0.42929801940917967,350.5550789833069,0.19602175951004028,1350.595982646942,0.20585505962371825,2799.2818029880523,356.2404352664947
17,58.75786647796631,9.705988645553589,0.28932244777679444,0.533966220729053,0.018363846838474272,342.96145578622816,23.84956588745117,5314.218985569477,1.4704049408435822,0.1270112633705139
18,115.06537908951027,1.0526824787259101,8.028806400299072,641.9540073394776,0.47452735900878906,60.54668698310852,0.4341109752655029,0.41149539947509767,0.3900908470153809,0.47719616889953614
19,987.7294612884522,527.3985649108887,0.001986776478588581,16.435473346710204,322.771302318573,2.3643684587208553,98.23591136336327,191.34399715662002,90.08934412002563,51.139349365234374
20,0.4436707988381386,11413.694884434342,0.4381700038909912,0.32543368339538575,0.0733572006225586,2.9628687858581544,0.4739856243133545,0.42145285606384275,0.7842280864715576,1.2729005694389344
