client_id,final_round,final_train_loss,final_val_loss,final_der,final_acc
0,20,0.0,,0.0,1.0
1,20,22.786897659301758,,0.4210526315789473,0.6052631578947368
2,20,0.0,,0.0,1.0
3,20,0.0,,0.0,1.0
4,20,0.0,,0.0,1.0
5,20,0.0,,0.0,1.0
6,20,0.0,,0.0,1.0
7,20,0.0,,0.0,1.0
8,20,0.0,,0.0,1.0
9,20,0.0,,0.0,1.0
