round,0,1,2
1,0.4872777017783966,0.28277474668745095,0.44132788922422134
2,0.45311556896858407,0.28433359314107476,0.47896716826266317
3,0.40044459644323416,0.4646141855027278,0.5022190662169452
4,0.40170424285461176,0.4162106703146414,0.3254871395167573
5,0.4236463696076793,0.3788776305533904,0.38755129958960943
6,0.228137178487919,0.3504445964432324,0.3591336765489109
7,0.4074205574294386,0.39244186046512325,0.4961808261886202
8,0.2717069368667187,0.4073529411764757,0.3911592401917321
9,0.4500683994528127,0.2696024941543258,0.4051482336232963
10,0.39462197973499624,0.39758565595597906,0.39404924760602517
11,0.37688620628439906,0.26765393608729543,0.4037961696306482
12,0.3910527250133188,0.3760943912448743,0.2650038971161342
13,0.3916210670314701,0.2606391270459859,0.3878927747204049
14,0.22696804364770068,0.40575181963429996,0.3435704514363914
15,0.4050772235043557,0.3431800467653939,0.34917920656635215
16,0.35771347417007426,0.39627222982216714,0.2901013250194856
17,0.361798905608761,0.2878409976617303,0.36552458725368586
18,0.3583008573655495,0.3709986320109457,0.3769217113438725
19,0.4163816689466565,0.45783774187822307,0.24201091192517543
20,0.41039671682626927,0.401420202378845,0.3505066250974279
