round,0,1,2,3,4
1,5650.16120853424,3477.003951883316,10090.1246237278,1780.105380487442,25940.49343523979
2,2471.4114849090574,147795.0818572998,7949.366806793213,751.1251098632813,4808.77861366272
3,416.6376942873001,1211.6349175453186,950.833186674118,5383.700753116607,1475.5862295627594
4,207.98920859098433,467.2665107727051,1299.9321596622467,471.60247552394867,4092.1394617557526
5,2547.5156160354613,168.80243968963623,521.1416744709015,462.72428331375124,861.3884054422379
6,575.2652360200882,658.1456377506256,162.47093217372895,278.3262778282166,282.9031268119812
7,368.04278988838195,87.47047312259674,241.7314643383026,359.6368670940399,467.33256549835204
8,34.4553524017334,516.9794420480728,22.859472513198853,347.8563975572586,162.81102299690247
9,376.6237297534943,315.456099319458,61.68984477519989,159.24705538749694,169.29148297309877
10,202.51177105903625,213.34444770812988,44.283430910110475,75.28724184036255,577.448103237152
11,35.690850496292114,48.62703285217285,28.716703510284425,31.036683166027068,23.815637731552123
12,150.5969617843628,20.35890436768532,56.81632103919983,70.15692057609559,59.59392213821411
13,196.37530255317688,79.6857172012329,13.188492059707642,23.986679315567017,93.7717167377472
14,7.579727339744568,14.353928279876708,41.42646317481994,111.03646204471588,61.208297753334044
15,77.24257402420044,226.86812806129456,258.00467853546144,83.03828279972076,41.31697468757629
16,373.8055140018463,57.02451539039612,126.2700476884842,43.0082968711853,113.26487891674041
17,63.31880049705505,26.223591876029968,75.7623209476471,66.45711755752563,59.934312629699704
18,188.25169985294343,9.51888611316681,20.459922313690186,4.398944854736328,16.65920422077179
19,17.102041935920717,40.88034100532532,30.316828870773314,30.50339617729187,62.6203310251236
20,22.085951066017152,347.8111312389374,46.16567535400391,13.389580249786377,106.41181843280792
