round,client_id,epoch,train_loss,val_loss,der,acc
1,0,1,3.356350898742676,,0.5579412693400821,0.00554016620498615
1,0,2,131.50486755371094,,0.4354278497000316,0.11772853185595568
1,0,3,1144.469482421875,,0.36785601515629934,0.4621421975992613
1,0,4,24752.056640625,,0.41679823176507746,0.12927054478301014
1,0,5,2219.418701171875,,0.3697505525734214,0.07479224376731301
2,0,1,12.538228988647461,,0.4623376623376689,0.27472527472527475
2,0,2,356.6239318847656,,0.39999999999999997,0.3333333333333333
2,0,3,283.12554931640625,,0.4000000000000092,0.3333333333333333
2,0,4,11141.7080078125,,0.39940059940059924,0.33433233433233434
2,0,5,563.0617065429688,,0.39999999999999997,0.3333333333333333
3,0,1,1.0666147470474243,,0.058863791923340264,0.9418206707734429
3,0,2,781.2188720703125,,0.026009582477755016,0.973990417522245
3,0,3,370.8707580566406,,1.000684462696783,0.0
3,0,4,175.16717529296875,,0.37508555783709885,0.02190280629705681
3,0,5,754.8650512695312,,0.4462696783025326,0.4462696783025325
4,0,1,0.5596141219139099,,0.026009582477754964,0.973990417522245
4,0,2,87.94496154785156,,0.026009582477755016,0.973990417522245
4,0,3,112.73112487792969,,0.11567419575633077,0.11567419575633128
4,0,4,745.9248657226562,,0.058863791923340326,0.05886379192334018
4,0,5,92.78547668457031,,0.026009582477754964,0.973990417522245
5,0,1,1.7415704727172852,,0.3603833865814697,0.6396166134185304
5,0,2,46.49156951904297,,0.3859424920127798,0.6140575079872205
5,0,3,82.32272338867188,,0.29584664536741184,0.7041533546325879
5,0,4,2674.621826171875,,0.3603833865814697,0.3603833865814696
5,0,5,9932.400390625,,0.3603833865814696,0.3603833865814696
6,0,1,1.861183762550354,,0.4059940059940115,0.3203463203463203
6,0,2,401.7373352050781,,0.3562437562437613,0.27505827505827507
6,0,3,343.8088073730469,,0.4000000000000054,0.3333333333333333
6,0,4,427.2677307128906,,0.40199800199800756,0.3203463203463203
6,0,5,1701.651123046875,,0.4009990009990064,0.33166833166833165
7,0,1,2.128919839859009,,0.4001998001998001,0.333000333000333
7,0,2,974.406982421875,,0.3996003996004087,0.333000333000333
7,0,3,389.31732177734375,,0.4000000000000091,0.3333333333333333
7,0,4,395.20025634765625,,0.393006993006993,0.32167832167832167
7,0,5,79.16046905517578,,0.398601398601404,0.3356643356643357
8,0,1,3.186066150665283,,0.4607028753993612,0.5392971246006389
8,0,2,24.828033447265625,,0.6894568690095846,0.31054313099041536
8,0,3,1.1203970909118652,,0.3610223642172523,0.6389776357827476
8,0,4,141.52090454101562,,0.3603833865814697,0.6396166134185304
8,0,5,1.6213607788085938,,0.2204472843450483,0.7795527156549521
9,0,1,2.2277791500091553,,0.3142857142857187,0.47619047619047616
9,0,2,1797.793701171875,,0.39999999999999997,0.3333333333333333
9,0,3,53.59160232543945,,0.29670329670329654,0.5054945054945055
9,0,4,25.847932815551758,,0.44095904095905064,0.2650682650682651
9,0,5,3.6576333045959473,,0.41438561438562366,0.30835830835830835
10,0,1,2.0961458683013916,,0.026009582477755016,0.973990417522245
10,0,2,4.411276340484619,,0.026009582477754964,0.973990417522245
10,0,3,3.2129344940185547,,0.05681040383299111,0.9431895961670089
10,0,4,998.2632446289062,,0.026009582477754964,0.026009582477754964
10,0,5,4.575253963470459,,0.045174537987679564,0.9561943874058864
11,0,1,2.045788049697876,,0.43826965582570304,0.43213296398891965
11,0,2,33.19124984741211,,0.41332491316704395,0.4713758079409049
11,0,3,4.428487777709961,,0.3526997158193947,0.4843028624192059
11,0,4,130.00880432128906,,0.4025892011367287,0.45013850415512463
11,0,5,8.779922485351562,,0.40322071360910317,0.48614958448753465
12,0,1,2.1099252700805664,,0.36102236421725237,0.6389776357827476
12,0,2,723.7274169921875,,0.3603833865814697,0.6396166134185304
12,0,3,14.191361427307129,,0.3629392971246006,0.6370607028753994
12,0,4,8.242414474487305,,0.3603833865814697,0.6396166134185304
12,0,5,4.713690757751465,,0.3603833865814696,0.6396166134185304
13,0,1,2.1635515689849854,,0.3680511182108626,0.6319488817891373
13,0,2,7.963129043579102,,0.3603833865814697,0.6396166134185304
13,0,3,188.3126983642578,,0.3603833865814696,0.6396166134185304
